Country,GDP per capita (adjusted),Electricity Share (%),Annotation
India,2000,10.0,China and India in 2000
India,3000,11.5,
India,4000,12.5,
India,5000,14.0,
India,6000,15.5,
India,7000,16.0,
India,8000,16.5,
India,9000,17.0,
India,10000,18.0,
India,11000,19.0,India 2024
China,2500,10.5,China and India in 2000
China,4000,12.0,
China,6000,14.0,
China,8000,16.0,
China,10000,17.5,
China,12000,19.0,
China,13000,20.0,
China,14000,21.0,
China,15000,22.5,
China,16000,23.5,
China,17000,24.5,
China,18000,25.5,
China,21000,27.0,
China,23000,27.5,
China,25000,28.0,
China,27000,29.0,China 2024
