date,category,value_gwh
2020-01-01,Biomass,8.25
2020-01-01,Coal_Hard_Coal,15.43
2020-01-01,Coal_Lignite,21.32
2020-01-01,Gas,12.05
2020-01-01,Hydro,4.63
2020-01-01,Nuclear,10.47
2020-01-01,Other,2.08
2020-01-01,Solar,16.33
2020-01-01,Wind_Offshore,7.7
2020-01-01,Wind_Onshore,27.33
2020-01-02,Biomass,7.96
2020-01-02,Coal_Hard_Coal,14.88
2020-01-02,Coal_Lignite,19.02
2020-01-02,Gas,13.06
2020-01-02,Hydro,4.62
2020-01-02,Nuclear,10.96
2020-01-02,Other,2.02
2020-01-02,Solar,15.03
2020-01-02,Wind_Offshore,8.79
2020-01-02,Wind_Onshore,26.37
2020-01-03,Biomass,7.92
2020-01-03,Coal_Hard_Coal,13.74
2020-01-03,Coal_Lignite,21.78
2020-01-03,Gas,12.03
2020-01-03,Hydro,5.41
2020-01-03,Nuclear,9.78
2020-01-03,Other,2.13
2020-01-03,Solar,16.47
2020-01-03,Wind_Offshore,8.92
2020-01-03,Wind_Onshore,23.57
2020-01-04,Biomass,8.65
2020-01-04,Coal_Hard_Coal,13.51
2020-01-04,Coal_Lignite,20.73
2020-01-04,Gas,12.8
2020-01-04,Hydro,4.71
2020-01-04,Nuclear,9.01
2020-01-04,Other,2.04
2020-01-04,Solar,16.05
2020-01-04,Wind_Offshore,7.99
2020-01-04,Wind_Onshore,27.13
2020-01-05,Biomass,8.75
2020-01-05,Coal_Hard_Coal,14.79
2020-01-05,Coal_Lignite,21.88
2020-01-05,Gas,13.1
2020-01-05,Hydro,5.14
2020-01-05,Nuclear,10.78
2020-01-05,Other,2.05
2020-01-05,Solar,15.03
2020-01-05,Wind_Offshore,7.46
2020-01-05,Wind_Onshore,25.34
2020-01-06,Biomass,7.62
2020-01-06,Coal_Hard_Coal,13.61
2020-01-06,Coal_Lignite,21.12
2020-01-06,Gas,12.6
2020-01-06,Hydro,4.67
2020-01-06,Nuclear,10.35
2020-01-06,Other,2.01
2020-01-06,Solar,14.97
2020-01-06,Wind_Offshore,8.09
2020-01-06,Wind_Onshore,25.02
2020-01-07,Biomass,8.31
2020-01-07,Coal_Hard_Coal,16.04
2020-01-07,Coal_Lignite,20.25
2020-01-07,Gas,11.25
2020-01-07,Hydro,5.33
2020-01-07,Nuclear,9.54
2020-01-07,Other,1.9
2020-01-07,Solar,16.11
2020-01-07,Wind_Offshore,8.73
2020-01-07,Wind_Onshore,28.45
2020-01-08,Biomass,8.02
2020-01-08,Coal_Hard_Coal,14.08
2020-01-08,Coal_Lignite,19.9
2020-01-08,Gas,12.53
2020-01-08,Hydro,4.88
2020-01-08,Nuclear,9.02
2020-01-08,Other,1.8
2020-01-08,Solar,14.22
2020-01-08,Wind_Offshore,7.87
2020-01-08,Wind_Onshore,24.2
2020-01-09,Biomass,7.34
2020-01-09,Coal_Hard_Coal,15.81
2020-01-09,Coal_Lignite,20.56
2020-01-09,Gas,12.15
2020-01-09,Hydro,4.59
2020-01-09,Nuclear,9.47
2020-01-09,Other,1.92
2020-01-09,Solar,15.99
2020-01-09,Wind_Offshore,8.15
2020-01-09,Wind_Onshore,24.42
2020-01-10,Biomass,8.39
2020-01-10,Coal_Hard_Coal,16.26
2020-01-10,Coal_Lignite,21.71
2020-01-10,Gas,12.56
2020-01-10,Hydro,5.02
2020-01-10,Nuclear,9.67
2020-01-10,Other,2.05
2020-01-10,Solar,16.34
2020-01-10,Wind_Offshore,7.94
2020-01-10,Wind_Onshore,23.72
2020-01-11,Biomass,8.06
2020-01-11,Coal_Hard_Coal,16.31
2020-01-11,Coal_Lignite,19.53
2020-01-11,Gas,13.11
2020-01-11,Hydro,5.23
2020-01-11,Nuclear,10.48
2020-01-11,Other,1.8
2020-01-11,Solar,16.29
2020-01-11,Wind_Offshore,7.99
2020-01-11,Wind_Onshore,24.99
2020-01-12,Biomass,8.18
2020-01-12,Coal_Hard_Coal,15.08
2020-01-12,Coal_Lignite,19.78
2020-01-12,Gas,12.09
2020-01-12,Hydro,4.86
2020-01-12,Nuclear,9
2020-01-12,Other,2.13
2020-01-12,Solar,16.32
2020-01-12,Wind_Offshore,8.95
2020-01-12,Wind_Onshore,28.41
2020-01-13,Biomass,7.57
2020-01-13,Coal_Hard_Coal,15.63
2020-01-13,Coal_Lignite,20.33
2020-01-13,Gas,11.75
2020-01-13,Hydro,5.46
2020-01-13,Nuclear,10.84
2020-01-13,Other,2.09
2020-01-13,Solar,15.59
2020-01-13,Wind_Offshore,8.69
2020-01-13,Wind_Onshore,26.27
2020-01-14,Biomass,8.42
2020-01-14,Coal_Hard_Coal,16.02
2020-01-14,Coal_Lignite,21.71
2020-01-14,Gas,12.19
2020-01-14,Hydro,4.61
2020-01-14,Nuclear,10.64
2020-01-14,Other,2.05
2020-01-14,Solar,17.43
2020-01-14,Wind_Offshore,8.83
2020-01-14,Wind_Onshore,27.44
2020-01-15,Biomass,7.67
2020-01-15,Coal_Hard_Coal,15.67
2020-01-15,Coal_Lignite,21.08
2020-01-15,Gas,12.76
2020-01-15,Hydro,5.44
2020-01-15,Nuclear,9.34
2020-01-15,Other,1.86
2020-01-15,Solar,15.07
2020-01-15,Wind_Offshore,8.58
2020-01-15,Wind_Onshore,24.75
2020-01-16,Biomass,7.42
2020-01-16,Coal_Hard_Coal,15.5
2020-01-16,Coal_Lignite,19.54
2020-01-16,Gas,12.66
2020-01-16,Hydro,4.53
2020-01-16,Nuclear,9.38
2020-01-16,Other,2.07
2020-01-16,Solar,17.01
2020-01-16,Wind_Offshore,9.17
2020-01-16,Wind_Onshore,26.2
2020-01-17,Biomass,7.39
2020-01-17,Coal_Hard_Coal,15.07
2020-01-17,Coal_Lignite,18.75
2020-01-17,Gas,11.23
2020-01-17,Hydro,4.82
2020-01-17,Nuclear,9.9
2020-01-17,Other,1.87
2020-01-17,Solar,17.79
2020-01-17,Wind_Offshore,8.91
2020-01-17,Wind_Onshore,27.56
2020-01-18,Biomass,8.47
2020-01-18,Coal_Hard_Coal,14.75
2020-01-18,Coal_Lignite,19.87
2020-01-18,Gas,11.13
2020-01-18,Hydro,5.09
2020-01-18,Nuclear,10.65
2020-01-18,Other,2.11
2020-01-18,Solar,17.2
2020-01-18,Wind_Offshore,8.62
2020-01-18,Wind_Onshore,26.93
2020-01-19,Biomass,7.41
2020-01-19,Coal_Hard_Coal,15.69
2020-01-19,Coal_Lignite,18.99
2020-01-19,Gas,12.59
2020-01-19,Hydro,5.29
2020-01-19,Nuclear,10.84
2020-01-19,Other,1.92
2020-01-19,Solar,17.91
2020-01-19,Wind_Offshore,8.49
2020-01-19,Wind_Onshore,29.54
2020-01-20,Biomass,8.39
2020-01-20,Coal_Hard_Coal,13.68
2020-01-20,Coal_Lignite,18.47
2020-01-20,Gas,10.93
2020-01-20,Hydro,4.61
2020-01-20,Nuclear,10.06
2020-01-20,Other,2.09
2020-01-20,Solar,15.59
2020-01-20,Wind_Offshore,8.2
2020-01-20,Wind_Onshore,29.25
2020-01-21,Biomass,7.6
2020-01-21,Coal_Hard_Coal,13.94
2020-01-21,Coal_Lignite,19.72
2020-01-21,Gas,11.86
2020-01-21,Hydro,4.98
2020-01-21,Nuclear,10.94
2020-01-21,Other,1.9
2020-01-21,Solar,17.97
2020-01-21,Wind_Offshore,9.52
2020-01-21,Wind_Onshore,27.9
2020-01-22,Biomass,8.08
2020-01-22,Coal_Hard_Coal,14.81
2020-01-22,Coal_Lignite,18.19
2020-01-22,Gas,12.81
2020-01-22,Hydro,4.85
2020-01-22,Nuclear,10.15
2020-01-22,Other,2.16
2020-01-22,Solar,16.9
2020-01-22,Wind_Offshore,8.65
2020-01-22,Wind_Onshore,28.77
2020-01-23,Biomass,7.28
2020-01-23,Coal_Hard_Coal,14.4
2020-01-23,Coal_Lignite,21.78
2020-01-23,Gas,12.77
2020-01-23,Hydro,4.69
2020-01-23,Nuclear,9.61
2020-01-23,Other,1.9
2020-01-23,Solar,16.8
2020-01-23,Wind_Offshore,9.06
2020-01-23,Wind_Onshore,26.22
2020-01-24,Biomass,8.09
2020-01-24,Coal_Hard_Coal,16.44
2020-01-24,Coal_Lignite,18.01
2020-01-24,Gas,12.73
2020-01-24,Hydro,5.37
2020-01-24,Nuclear,9.17
2020-01-24,Other,1.97
2020-01-24,Solar,16.41
2020-01-24,Wind_Offshore,8.67
2020-01-24,Wind_Onshore,26.27
2020-01-25,Biomass,8
2020-01-25,Coal_Hard_Coal,15.1
2020-01-25,Coal_Lignite,18.78
2020-01-25,Gas,11.96
2020-01-25,Hydro,4.65
2020-01-25,Nuclear,9.32
2020-01-25,Other,2.18
2020-01-25,Solar,15.52
2020-01-25,Wind_Offshore,8.28
2020-01-25,Wind_Onshore,28.66
2020-01-26,Biomass,8.11
2020-01-26,Coal_Hard_Coal,13.52
2020-01-26,Coal_Lignite,20.05
2020-01-26,Gas,12.72
2020-01-26,Hydro,5.04
2020-01-26,Nuclear,9.22
2020-01-26,Other,2.05
2020-01-26,Solar,16.5
2020-01-26,Wind_Offshore,8.68
2020-01-26,Wind_Onshore,26.67
2020-01-27,Biomass,8.68
2020-01-27,Coal_Hard_Coal,14.95
2020-01-27,Coal_Lignite,21.71
2020-01-27,Gas,11.12
2020-01-27,Hydro,4.71
2020-01-27,Nuclear,10.74
2020-01-27,Other,2.15
2020-01-27,Solar,17.87
2020-01-27,Wind_Offshore,8.79
2020-01-27,Wind_Onshore,26.41
2020-01-28,Biomass,7.97
2020-01-28,Coal_Hard_Coal,16.1
2020-01-28,Coal_Lignite,18.47
2020-01-28,Gas,11.61
2020-01-28,Hydro,4.9
2020-01-28,Nuclear,9.64
2020-01-28,Other,1.95
2020-01-28,Solar,15.96
2020-01-28,Wind_Offshore,9.09
2020-01-28,Wind_Onshore,30.32
2020-01-29,Biomass,7.74
2020-01-29,Coal_Hard_Coal,14.43
2020-01-29,Coal_Lignite,21.85
2020-01-29,Gas,11.21
2020-01-29,Hydro,4.52
2020-01-29,Nuclear,9.98
2020-01-29,Other,1.81
2020-01-29,Solar,17.17
2020-01-29,Wind_Offshore,8.64
2020-01-29,Wind_Onshore,26.22
2020-01-30,Biomass,7.43
2020-01-30,Coal_Hard_Coal,14.44
2020-01-30,Coal_Lignite,19.47
2020-01-30,Gas,11.02
2020-01-30,Hydro,5.1
2020-01-30,Nuclear,10.51
2020-01-30,Other,1.81
2020-01-30,Solar,18.63
2020-01-30,Wind_Offshore,8.92
2020-01-30,Wind_Onshore,30.27
2020-01-31,Biomass,7.71
2020-01-31,Coal_Hard_Coal,16.07
2020-01-31,Coal_Lignite,19.23
2020-01-31,Gas,13.03
2020-01-31,Hydro,4.66
2020-01-31,Nuclear,9.78
2020-01-31,Other,1.92
2020-01-31,Solar,17.37
2020-01-31,Wind_Offshore,8.48
2020-01-31,Wind_Onshore,28.73
2020-02-01,Biomass,8.64
2020-02-01,Coal_Hard_Coal,14.08
2020-02-01,Coal_Lignite,18.29
2020-02-01,Gas,13.03
2020-02-01,Hydro,5.15
2020-02-01,Nuclear,9.59
2020-02-01,Other,2.2
2020-02-01,Solar,16.13
2020-02-01,Wind_Offshore,9.33
2020-02-01,Wind_Onshore,31.97
2020-02-02,Biomass,8.36
2020-02-02,Coal_Hard_Coal,15.13
2020-02-02,Coal_Lignite,19.04
2020-02-02,Gas,13.04
2020-02-02,Hydro,5.34
2020-02-02,Nuclear,9.72
2020-02-02,Other,2.1
2020-02-02,Solar,17.33
2020-02-02,Wind_Offshore,8.7
2020-02-02,Wind_Onshore,28.67
2020-02-03,Biomass,8.5
2020-02-03,Coal_Hard_Coal,15.46
2020-02-03,Coal_Lignite,19.51
2020-02-03,Gas,11.95
2020-02-03,Hydro,4.82
2020-02-03,Nuclear,10.07
2020-02-03,Other,1.92
2020-02-03,Solar,19.14
2020-02-03,Wind_Offshore,8.77
2020-02-03,Wind_Onshore,26.48
2020-02-04,Biomass,8.49
2020-02-04,Coal_Hard_Coal,13.56
2020-02-04,Coal_Lignite,19.35
2020-02-04,Gas,10.9
2020-02-04,Hydro,4.87
2020-02-04,Nuclear,10.91
2020-02-04,Other,2.16
2020-02-04,Solar,17.39
2020-02-04,Wind_Offshore,10.01
2020-02-04,Wind_Onshore,27.11
2020-02-05,Biomass,8
2020-02-05,Coal_Hard_Coal,15.64
2020-02-05,Coal_Lignite,18.57
2020-02-05,Gas,11.94
2020-02-05,Hydro,5.45
2020-02-05,Nuclear,10.37
2020-02-05,Other,1.99
2020-02-05,Solar,17.57
2020-02-05,Wind_Offshore,8.68
2020-02-05,Wind_Onshore,30.09
2020-02-06,Biomass,7.82
2020-02-06,Coal_Hard_Coal,15.36
2020-02-06,Coal_Lignite,21.81
2020-02-06,Gas,12.2
2020-02-06,Hydro,5.43
2020-02-06,Nuclear,10.23
2020-02-06,Other,1.92
2020-02-06,Solar,18.07
2020-02-06,Wind_Offshore,9.1
2020-02-06,Wind_Onshore,30.66
2020-02-07,Biomass,7.29
2020-02-07,Coal_Hard_Coal,15.55
2020-02-07,Coal_Lignite,18.32
2020-02-07,Gas,13.12
2020-02-07,Hydro,4.61
2020-02-07,Nuclear,9.4
2020-02-07,Other,2.13
2020-02-07,Solar,16.45
2020-02-07,Wind_Offshore,10.05
2020-02-07,Wind_Onshore,28.8
2020-02-08,Biomass,7.47
2020-02-08,Coal_Hard_Coal,15.22
2020-02-08,Coal_Lignite,19.02
2020-02-08,Gas,12.76
2020-02-08,Hydro,5.46
2020-02-08,Nuclear,9.2
2020-02-08,Other,1.83
2020-02-08,Solar,18.28
2020-02-08,Wind_Offshore,9.33
2020-02-08,Wind_Onshore,29.79
2020-02-09,Biomass,8.08
2020-02-09,Coal_Hard_Coal,15.58
2020-02-09,Coal_Lignite,18.82
2020-02-09,Gas,11.98
2020-02-09,Hydro,5.41
2020-02-09,Nuclear,10.93
2020-02-09,Other,1.83
2020-02-09,Solar,19.35
2020-02-09,Wind_Offshore,9.93
2020-02-09,Wind_Onshore,30.23
2020-02-10,Biomass,7.33
2020-02-10,Coal_Hard_Coal,16.05
2020-02-10,Coal_Lignite,19.57
2020-02-10,Gas,11.06
2020-02-10,Hydro,4.76
2020-02-10,Nuclear,10.96
2020-02-10,Other,1.95
2020-02-10,Solar,16.39
2020-02-10,Wind_Offshore,9.91
2020-02-10,Wind_Onshore,30.27
2020-02-11,Biomass,7.88
2020-02-11,Coal_Hard_Coal,13.86
2020-02-11,Coal_Lignite,20.77
2020-02-11,Gas,11.17
2020-02-11,Hydro,5.28
2020-02-11,Nuclear,9.52
