Country,Full year 2025,Jan-Apr 2026
Italy,115.6,127.1
Hungary,113.8,119.8
Romania,113.4,113.3
Poland,109.0,111.8
Bulgaria,106.9,111.0
Croatia,105.3,113.1
Austria,105.0,112.6
Slovenia,104.7,112.6
Greece,103.6,93.1
Slovakia,102.6,112.8
Switzerland,101.7,116.8
Czechia,100.2,107.7
UK,93.1,102.5
Germany,91.0,96.3
Netherlands,87.2,96.2
Latvia,85.8,109.6
Lithuania,85.3,111.4
Belgium,82.4,91.5
Denmark,81.8,97.8
Estonia,80.4,105.4
Portugal,68.3,42.1
Spain,68.0,44.0
France,61.3,63.0
Finland,40.4,81.8
Norway,40.0,90.7
Sweden,34.9,69.1
