jahr,technologie,anteil
2025,Windkraft an Land,100
2026,Windkraft an Land,74
2027,Windkraft an Land,59
2028,Windkraft an Land,49
2029,Windkraft an Land,45
2030,Windkraft an Land,40
2031,Windkraft an Land,35
2032,Windkraft an Land,32
2033,Windkraft an Land,30
2034,Windkraft an Land,28
2035,Windkraft an Land,28
2025,Dezentrale Solar,100
2026,Dezentrale Solar,98
2027,Dezentrale Solar,97
2028,Dezentrale Solar,96
2029,Dezentrale Solar,95
2030,Dezentrale Solar,95
2031,Dezentrale Solar,94
2032,Dezentrale Solar,93
2033,Dezentrale Solar,94
2034,Dezentrale Solar,94
2035,Dezentrale Solar,95
2025,Batteriespeicher,100
2026,Batteriespeicher,91
2027,Batteriespeicher,93
2028,Batteriespeicher,88
2029,Batteriespeicher,84
2030,Batteriespeicher,81
2031,Batteriespeicher,78
2032,Batteriespeicher,77
2033,Batteriespeicher,75
2034,Batteriespeicher,73
2035,Batteriespeicher,72
2025,Solar-Großanlagen,100
2026,Solar-Großanlagen,94
2027,Solar-Großanlagen,88
2028,Solar-Großanlagen,84
2029,Solar-Großanlagen,81
2030,Solar-Großanlagen,77
2031,Solar-Großanlagen,74
2032,Solar-Großanlagen,72
2033,Solar-Großanlagen,70
2034,Solar-Großanlagen,69
2035,Solar-Großanlagen,69
