jahr,wert,serie
2012,24.43,Vergütung
2013,17.02,Vergütung
2014,13.68,Vergütung
2015,12.56,Vergütung
2016,12.31,Vergütung
2017,12.30,Vergütung
2018,12.20,Vergütung
2019,11.47,Vergütung
2020,9.87,Vergütung
2021,8.16,Vergütung
2022,6.83,Vergütung
2023,8.20,Vergütung
2024,8.11,Vergütung
2025,7.94,Vergütung
2026,7.78,Vergütung
2012,4.495,Marktwert Solar
2013,3.936,Marktwert Solar
2014,3.333,Marktwert Solar
2015,3.171,Marktwert Solar
2016,2.952,Marktwert Solar
2017,3.474,Marktwert Solar
2018,4.515,Marktwert Solar
2019,3.776,Marktwert Solar
2020,2.879,Marktwert Solar
2021,7.552,Marktwert Solar
2022,22.306,Marktwert Solar
2023,7.20,Marktwert Solar
2024,4.624,Marktwert Solar
2025,4.508,Marktwert Solar
2026,4.458,Marktwert Solar
